Iter,RSquared
1,0.6581181841252983
2,0.6406666901132717
3,0.23197997387610014
4,0.5308987685647966
5,0.7719299470113028
6,0.690839824705395
7,0.564196578084093
8,0.6389150457773025
9,0.8124887731733168
10,0.8609590389552937
11,0.039299946866002244
12,0.7175491513734793
13,0.5571840685824987
14,0.5966386708386908
15,0.45570658262359576
16,0.36462993372179164
17,0.5260667875255207
18,0.5317841924002119
19,0.7660442800050011
20,0.45233309011670253
21,0.319409603823252
22,0.508613248347012
23,0.6003772816130364
24,0.4151070181205515
25,0.7652337297422785
26,0.3197536926296667
27,0.46902448762541893
28,0.4867342719213015
29,0.6029340696421672
30,0.46386831372132076
31,0.43143408899590296
32,0.6448872791645192
33,0.5734435972066463
34,0.35287912376720165
35,0.6710761909241938
36,0.039345999973572576
37,0.38286490857026
38,0.5398163318957083
39,0.12751978142561515
40,0.6591332379485473
41,0.495139743794773
42,0.11567623817273331
43,0.6642399036794187
44,-0.024775037877468042
45,0.47814104902690013
46,-0.13261609091057114
47,0.7407797257549045
48,0.6661347553924282
49,0.22559244808182133
50,0.6119242920622434
51,0.24091275886238372
52,0.7212076902002577
53,-0.023821026374236
54,0.26733996178864416
55,0.4821946280491469
56,0.6062938546425786
57,0.6962492976200756
58,0.582757401044065
59,0.4479447213310508
60,0.38821082477192104
61,0.5489822841263696
62,-0.17659235293226572
63,0.5099143792721816
64,0.49997563375748466
65,0.5169372607394565
66,0.0006772505916045057
67,-0.18210047927595574
68,0.3770770712677265
69,0.637640690994542
70,0.1622265057183946
71,0.6124668693961347
72,0.4474436879856094
73,0.5278660818201079
74,0.4474717256040599
75,0.49889430189603556
76,0.5922073796615723
77,0.7525890159369176
78,0.2934051223731873
79,0.16251732576099487
80,0.7633465887890518
81,-0.058974820998307864
82,0.5615937100880564
83,0.6376150369198306
84,0.43538492536985074
85,0.8562033019233933
86,0.0523324952165114
87,0.4572834135745667
88,0.6741358494990082
89,0.4787725067702697
90,0.48904922652486926
91,0.6933117250393739
92,0.7255557981179794
93,0.416106839439479
94,0.6169110005059683
95,0.5461513914503688
96,0.6035919271558656
97,0.668926422579331
98,0.2138012485659495
99,0.31323306213264734
100,0.5052597878633244
