Iter,RSquared
1,-0.5190939414371847
2,0.05506956661558038
3,-1.4594253387877316
4,-0.050765717634579266
5,-0.5898531195819072
6,0.3260019391117335
7,-0.11882055643136225
8,-1.4043142051714974
9,-0.371675529398811
10,-0.36851370301251785
11,0.15221526944534114
12,-0.7034854748416994
13,0.18405682843850102
14,-0.05497028927038228
15,-1.591341016331922
16,-0.7361010355736994
17,-0.291455699684666
18,-0.3341115315864154
19,-0.05139741919860952
20,-1.6937145824935564
21,0.22732008804008852
22,0.00912745509928381
23,0.32230737333260284
24,0.2623578172443385
25,0.012602636470564699
26,0.07442543638305088
27,-0.6476764111137554
28,-0.3050597976496754
29,-0.06380728387148116
30,0.011164529784492228
31,-0.25411739410555945
32,0.04432994894428888
33,-1.7039032402960954
34,-0.5357218867009053
35,-1.777999393628912
36,0.28817549635619677
37,-0.44753430272412986
38,-0.41069466771339047
39,0.2548097202318591
40,-0.3493861616937439
41,0.04488902192663269
42,-0.42478118753003846
43,-0.5738797351147893
44,-0.7004755074085125
45,-1.1746709972761114
46,0.36545722906870126
47,-3.151253569599719
48,0.14723334104413865
49,-0.9822139152529372
50,0.3126562239573718
51,-0.04806940694523387
52,-0.02862550881721959
53,-0.34724780123432475
54,-3.8694040168893116
55,-0.03755438702345559
56,0.14119475635602063
57,0.06123146243457167
58,0.16335871136414248
59,-0.13010175465646778
60,0.14498546698459913
61,-0.5677212047330185
62,0.11867799430576864
63,-0.4916475350453591
64,-0.611724414215123
65,-0.23747142790646025
66,-2.639601275278202
67,-0.2749998592178271
68,-0.9579285230841008
69,0.018819716965856714
70,-0.8773243150834309
71,-0.3057208267684772
72,0.2512321479836104
73,0.2585227870478656
74,-0.4768792250301046
75,0.20575698318676006
76,-0.2691529560318864
77,0.04421100467278638
78,-0.4541981722920019
79,-0.6574694003796093
80,-0.4600207695272167
81,-0.9623529407328675
82,0.3574893410380966
83,-2.2269600377800116
84,-1.5663290162292633
85,-0.7225396368762116
86,-0.3090598746328259
87,-0.697343342601811
88,0.055684041971607035
89,-0.332687415209455
90,-0.21401487414338005
91,-0.6133983702084318
92,-0.4945390562644678
93,-0.22219119412855348
94,-0.17879359224301639
95,-0.37526027913531146
96,-0.34669935169368826
97,0.23059930873440848
98,-0.3321404364198599
99,-0.878907587045269
100,-1.7090474683965269
