importance,features
0.38021162782781553,SCI_BENEFITS-Enthusiast
0.19158707071828956,SCI_TRUST-Medium
0.16811487251805296,GSNI_edu
0.14381649468811922,Christians
0.11626993424772278,SCI_BENEFITS-Included
