Iter,RSquared
1,0.7678647110446162
2,0.5308825525893902
3,0.5297085929961638
4,0.7212465658107461
5,0.5271313559620409
6,0.5616088700296097
7,-0.39299244974326264
8,0.5043421498712735
9,0.11420081436076879
10,0.8673160537447306
11,0.7691018945832104
12,0.18640740706649206
13,0.5575167895722429
14,0.1267485897198921
15,-0.175103918864558
16,0.34431065781599046
17,0.2422388086894981
18,0.6128971720420635
19,0.679531628273448
20,0.4430632673257183
21,0.3770959477842297
22,0.0037119622805293906
23,0.4678885119047359
24,-0.022697856923064252
25,0.4838841723956828
26,0.10270391214523378
27,0.2987803925906837
28,0.44928338166566684
29,-1.3012837421805217
30,0.5635120180891275
31,-0.04059249969160206
32,0.3920707963578175
33,0.36489418932161166
34,-0.14789559189076096
35,0.43070707885715753
36,0.3587855165711513
37,0.4504611655752576
38,0.47150277981174515
39,-0.36789766593879203
40,0.744207780720932
41,0.4494610786066162
42,0.7361221510175477
43,0.7726569283962219
44,0.43001217332015773
45,0.4412858592136806
46,0.030628379574526687
47,0.34787510141379696
48,-0.010645416844979882
49,0.8706012934716282
50,0.29145688215276133
51,0.6884053828072212
52,-0.4446519375491582
53,0.11831825466498702
54,0.0971487600310661
55,0.23714962314286592
56,0.3546410173753657
57,0.5888366017368347
58,0.02212033747797293
59,0.49656843354772773
60,0.09322525142023241
61,0.35839043185971875
62,0.31238772598380926
63,0.7161970576168968
64,0.37852253282566184
65,0.5941985609354836
66,0.6608702116975391
67,0.6458474215731975
68,0.7701516825235225
69,0.3362343431925433
70,0.22116877468271046
71,-3.0284085507059864
72,0.21577902559951934
73,0.3790384668457668
74,-0.014610976510260443
75,0.4645869644599008
76,-0.09489626350211644
77,0.3204722207471339
78,0.593649943327194
79,0.44641356164605495
80,0.06637450757690577
81,0.8128885496813152
82,0.40712136367163576
83,-0.06692099789739214
84,0.6215196567822574
85,0.7457739031049101
86,0.6062539487855436
87,0.5295322281245023
88,0.4503458616117889
89,0.5585145826151268
90,0.6075808014709423
91,0.463893313063642
92,0.3012635233383898
93,0.48584566031278653
94,0.5688188657367694
95,0.46553754026002947
96,0.6828217199550537
97,0.8194093599440938
98,0.7643206734891043
99,0.630022491367038
100,0.3760458699953867
